('G576571', '170318425001018')
('G577464', '170318412001010')
('G578724', '170313814001014')
('G580639', '170312601001021')
('G580682', '170312507002012')
('G581745', '170312411001013')
('G581819', '170312602001000')
('G582931', '170312411002014')
('G583490', '170312809001007')
('G583586', '170314303003003')
('G584856', '170314212002007')
('G585309', '170315807002023')
('G585738', '170313007003001')
('G586113', '170316911001011')
('G588040', '170312608002012')
('G588347', '170318374002033')
('G589862', '170312315004008')
('G592202', '170312504001005')
('G592219', '170316103001025')
('G592219', '170316103001025')
('G592219', '170316103001025')
('G592294', '170314908003013')
('G592319', '170312416002010')
('G592511', '170316811002014')
('G594535', '170318320001005')
('G594535', '170318320001005')
('G594835', '170316811003007')
('G596121', '170314301012006')
('G599139', '170313009001007')
('G599389', '170314208001018')
('G600899', '170314607003009')
('G601256', '170314604004009')
('G601256', '170314604004009')
('G601279', '170318343002000')
('G601327', '290910906002028')
('G602617', '170318365002009')
('G605369', '170314911004017')
('G609416', '170312608002006')
('G609614', '170312912002004')
('G610951', '170313818002007')
('G612031', '170314910004033')
('G614514', '170314910004030')
('G614514', '170314910004030')
('G616074', '170315604001013')
('G617712', '170314803002009')
('G618642', '170318311001007')
('G618697', '170312514001003')
('G619743', '170315305011018')
('G619871', '170316716003016')
('G620205', '170314207001011')
('G620745', '170312912002014')
('G621103', '170316607002004')
('G622973', '170314402012004')
('G623546', '170312104002006')
('G625393', '170314207003007')
('G627521', '170314604003001')
('G628776', '170311913022028')
('G630073', '170316110001038')
('G630295', '170318426002027')
('G630511', '170310621003008')
('G631838', '170312004021013')
('G632414', '170315801001008')
('G632492', '170314401014010')
('G632707', '170314003001030')
('G632771', '170318339001014')
('G635846', '170316605003004')
('G636444', '170312925001017')
('G636535', '170312429002001')
('G639202', '170312518002010')
('G640411', '170318339001014')
('G642939', '170314401012004')
('G645636', '170318356001014')
('G647521', '170312518003009')
('G647673', '170314401012001')
('G648246', '170316302001003')
('G649506', '170317307002010')
('G649567', '170318383001005')
('G650625', '170318340001025')
('G651444', '170312518002007')
('G651845', '170313007001009')
('G651969', '170310106001009')
('G654371', '170314911005007')
('G655145', '170313814001011')
('G656104', '170316711001015')
('G656885', '170315804003019')
('G661430', '170310707002002')
('G663156', '170315305021021')
('G664091', '170314401014010')
('G665583', '170318324002016')
('G667308', '170317114002006')
('G669222', '170312610001003')
('G670096', '170313818001010')
('G670379', '170316810004005')
('G671837', '170310105022008')
('G673823', '170312516001006')
('G674523', '170312518004004')
('G675344', '170315103004028')
('G676529', '170315306003009')
('G678089', '170317004011032')
('G678450', '170312604001031')
('G678530', '290910906002028')
('G678569', '170314601001018')
('G678684', '170311406011002')
('G678684', '170311406011002')
('G680485', '170318370002010')
('G680534', '170312832001003')
('G680794', '170314308002006')
('G684144', '170316121001025')
('G684456', '170314313021002')
('G684972', '170318428005007')
('G684972', '170318428005007')
('G686298', '170314909011021')
('G686446', '170318397002003')
('G687062', '170317505003046')
('G688450', '170316702001026')
('G688481', '170313904002000')
('G690295', '170318438002008')
('G690715', '170312433001010')
('G690868', '170318370002014')
('G690946', '170315101002007')
('G691204', '170313406001012')
('G691809', '170316809004029')
('G692918', '170312004021005')
('G694725', '170318368002013')
('G694885', '170316113002003')
('G694994', '170314301014005')
('G697425', '170316914002014')
('G697694', '170318432002045')
('G699263', '170312705001028')
('G701363', '170313007001010')
('G703238', '170317506001010')
('G703238', '170317506001010')
('G704510', '170312215001018')
('G705038', '170312107001003')
('G705224', '170318383001005')
