Latitude,Longitude
41.700851077,-87.618466247
41.70089042,-87.622153316
41.700934193,-87.538376571
41.701138424,-87.607393187
41.701282175,-87.608863651
41.701468915,-87.606276251
41.701619808,-87.629633892
41.701624878,-87.629117507
41.70191623,-87.52924263
41.702027818,-87.563981957
41.702128834,-87.565134263
41.702357973,-87.618508148
41.702495331,-87.620740424
41.702500788,-87.626958377
41.702522694,-87.623387722
41.702536944,-87.645128658
41.702629983,-87.606310777
41.702768847,-87.624586143
41.702768847,-87.624586143
41.702769942,-87.562925787
41.702802476,-87.635461857
41.702876591,-87.635464717
41.702979231,-87.622214525
41.703068059,-87.628167951
41.703230009,-87.628173505
41.703385372,-87.633836943
41.703445434,-87.629291729
41.703448947,-87.628969433
41.703471629,-87.62284629
41.703582996,-87.535286161
41.703614913,-87.55961622
41.703644635,-87.564453394
41.703746874,-87.623421862
41.703787141,-87.605294344
41.703792164,-87.647601797
41.703823312,-87.565729315
41.703858046,-87.647604759
41.703894733,-87.560824999
41.704026818,-87.618555581
41.704026818,-87.618555581
41.704130902,-87.559624682
41.704132148,-87.648469754
41.704136655,-87.623435884
41.704232533,-87.635504986
41.70425889,-87.643964069
41.704262023,-87.656960706
41.704334583,-87.631083766
41.704393792,-87.626417643
41.704563468,-87.64762656
41.704641317,-87.609312999
41.704763734,-87.620554245
41.704889896,-87.620541865
41.7049345,-87.602736241
41.705082575,-87.644486277
41.705201564,-87.634648558
41.705206991,-87.634187073
41.705218551,-87.633381281
41.705244076,-87.603948559
41.705277006,-87.603948187
41.705372982,-87.621441074
41.705564556,-87.536495793
41.705564556,-87.536495793
41.705677782,-87.600944364
41.705677782,-87.600944364
41.705790877,-87.628240739
41.705920727,-87.618607847
41.705941932,-87.563268783
41.706052215,-87.642805979
41.706181257,-87.639171722
41.706468217,-87.616184739
41.706486077,-87.608098429
41.706525472,-87.605647981
41.706838356,-87.651751673
41.706913422,-87.643177633
41.706940771,-87.640881131
41.70702774,-87.634394404
41.707099379,-87.628599988
41.707111936,-87.627515832
41.707257948,-87.53770539
41.707455731,-87.605637491
41.707647633,-87.537704247
41.707647633,-87.537704247
41.707756212,-87.580708771
41.708080277,-87.628343903
41.708085806,-87.650160053
41.70809791,-87.621854148
41.708101557,-87.644065847
41.708145189,-87.651378966
41.708175671,-87.644068718
41.70840401,-87.624758638
41.70840401,-87.624758638
41.708472756,-87.628350602
41.708487135,-87.620007718
41.708618499,-87.635593061
41.70884573,-87.5633147
41.708954417,-87.626345707
41.709015404,-87.621554707
41.709193985,-87.565735011
41.709227068,-87.564526046
41.709320072,-87.566945747
41.70953478,-87.619897253
41.709693666,-87.640481689
41.709876983,-87.625976685
41.709901699,-87.564045561
41.709905512,-87.628386221
41.710418768,-87.608980816
41.710831863,-87.621952187
41.710837306,-87.621501647
41.710841206,-87.621245234
41.711186545,-87.56576258
41.711422875,-87.640529044
41.711591584,-87.634399903
41.711743054,-87.641745215
41.711745138,-87.62185788
41.711764929,-87.617532263
41.711861362,-87.611451453
41.711861362,-87.611451453
41.711873264,-87.615102827
41.711877568,-87.683602473
41.711916635,-87.60067211
41.712105674,-87.626025501
41.712105674,-87.626025501
41.712456039,-87.620106677
41.712456039,-87.620106677
41.71265127,-87.621939451
41.712691482,-87.619573006
41.712809024,-87.562161311
41.71309546,-87.667676345
41.713224967,-87.649076453
41.713353279,-87.653587393
41.713364123,-87.55941507
41.713364123,-87.55941507
41.713395148,-87.649081973
41.71342313,-87.626055008
41.71342313,-87.626055008
41.713437049,-87.631907666
41.71346647,-87.568965851
41.713515873,-87.565262394
41.713517035,-87.644220423
