CaseNumber,Latitude,Longitude
G550605,41.688965575,-87.622478715
G551411,41.752560727,-87.637448188
G551630,41.792115905,-87.672587355
G552508,41.902579875,-87.73186579
G552723,41.748972212,-87.60269154
G552836,41.736531621,-87.612582187
G554146,41.800268225,-87.64531256
G555677,41.781184105,-87.615649806
G556311,41.853731004,-87.697008971
G556829,42.005403989,-87.668872764
G559110,41.895868773,-87.721207281
G560545,41.883738563,-87.642713824
G560941,41.969110786,-87.653199102
G564944,41.883638136,-87.755186303
G567131,41.809759341,-87.667435839
G568034,41.789640536,-87.648682442
G570120,41.80505341,-87.658120674
G570285,41.939900177,-87.654843816
G571096,41.790526256,-87.630393167
G572052,41.931526191,-87.747286365
G572174,41.716653872,-87.564628002
G572463,41.867184057,-87.716759634
G572812,41.876860431,-87.725537965
G574678,41.722451399,-87.674437114
G575283,41.830364812,-87.623239091
G576180,41.69397574,-87.612189718
G576571,41.777020104,-87.625232019
G577464,41.853040781,-87.679654139
G578724,41.806472977,-87.622762074
G580639,41.88077164,-87.722041752
G580682,41.903535717,-87.758279867
G581745,41.906658672,-87.688045355
G581819,41.887748749,-87.729015487
G582931,41.905356777,-87.690780557
G583490,41.876884977,-87.686329083
G583586,41.768448004,-87.591055569
G584856,41.77061404,-87.610547492
G585309,41.821070404,-87.68649871
G585738,41.847148452,-87.711204508
G586113,41.763174795,-87.626513215
G588040,41.874947338,-87.72547164
G588347,41.871101072,-87.691883765
G589862,41.89178369,-87.716794896
G592202,41.912661476,-87.766240267
G592219,41.814042305,-87.666815552
G592219,41.814042305,-87.666815552
G592219,41.814042305,-87.666815552
G592294,41.713551024,-87.6227646
G592319,41.905767381,-87.665116609
G592511,41.766471695,-87.645670111
G594535,41.94595442,-87.653074023
G594535,41.94595442,-87.653074023
G594835,41.767886662,-87.650548686
G596121,41.766249991,-87.575527839
G599139,41.845828597,-87.700181205
G599389,41.77772781,-87.602827178
G600899,41.736873382,-87.555571565
G601256,41.738055264,-87.564816173
G601256,41.738055264,-87.564816173
G601279,41.75652833,-87.592570988
G601327,36.619446395,-91.686565684
G602617,41.825756866,-87.60781793
G605369,41.697149811,-87.640103708
G609416,41.876192292,-87.724259141
G609614,41.864099641,-87.713723835
G610951,41.803391597,-87.621061298
G612031,41.699305792,-87.623298605
G614514,41.699035036,-87.625674408
G614514,41.699035036,-87.625674408
G616074,41.805133681,-87.74186691
G617712,41.727329033,-87.58792067
G618642,41.945290829,-87.718356483
G618697,41.89417086,-87.767924449
G619743,41.677023715,-87.633452598
G619871,41.76989754,-87.663955177
G620205,41.777875199,-87.608332208
G620745,41.858993846,-87.713450088
G621103,41.773780109,-87.682475867
G622973,41.750742298,-87.610066837
G623546,41.933951239,-87.72703963
G625393,41.773860649,-87.611874802
G627521,41.743536325,-87.562460635
G628776,41.919050268,-87.767396234
G630073,41.802481115,-87.646396519
G630295,41.815289454,-87.665140842
G630511,41.940514379,-87.652903963
G631838,41.917530169,-87.733907925
G632414,41.830861941,-87.69483214
G632492,41.747658269,-87.60235098
G632707,41.786449016,-87.610178987
G632771,41.733119372,-87.549945455
G635846,41.774287841,-87.711212569
G636444,41.855785481,-87.727271903
G636535,41.892175985,-87.682457932
G639202,41.885691894,-87.751051007
G640411,41.733289529,-87.549947051
G642939,41.74581552,-87.60343823
G645636,41.808187211,-87.633336248
G647521,41.884494512,-87.741748804
G647673,41.746655581,-87.602622531
G648246,41.804449678,-87.694096813
G649506,41.7056806,-87.647658636
G649567,41.903726336,-87.64250581
G650625,41.727987234,-87.631427034
G651444,41.884680488,-87.754005423
G651845,41.850571654,-87.714966537
G651969,42.005407751,-87.668574702
G654371,41.704164704,-87.637897044
G655145,41.806911162,-87.624393117
G656104,41.775228887,-87.662873236
G656885,41.808036345,-87.711069556
G661430,41.931535128,-87.678838606
G663156,41.668224148,-87.624745566
G664091,41.748914562,-87.602688529
G665583,41.913977641,-87.68904078
G667308,41.736011757,-87.64781608
G669222,41.872993338,-87.732756426
G670096,41.805069493,-87.624351068
G670379,41.779653172,-87.651300139
G671837,42.005072012,-87.660873808
G673823,41.893110785,-87.751828382
G674523,41.884914908,-87.746665905
G675344,41.71274767,-87.569410209
G676529,41.677126917,-87.62165727
G678089,41.749060661,-87.702375282
G678450,41.881921637,-87.736154071
G678530,36.619446395,-91.686565684
G678569,41.751194021,-87.546830594
G678684,41.968249306,-87.727203575
G678684,41.968249306,-87.727203575
G680485,41.880758708,-87.697423905
G680534,41.870862182,-87.65834276
G680794,41.760069167,-87.570036745
G684144,41.796878199,-87.648847457
G684456,41.761782474,-87.564815341
