CaseNumber,Latitude,Longitude
HK342919,41.758568826,-87.606119561
HK347049,41.946790591,-87.656185985
HK351333,41.912398692,-87.71175796
HK351383,41.773938066,-87.610656815
HK352278,41.777000312,-87.667826156
HK354099,41.8069545,-87.651498476
HK357713,41.916175127,-87.727748012
HK357842,41.89619366,-87.722438312
HK358246,41.755279135,-87.651437311
HK359543,41.783940711,-87.674027939
HK360655,41.69895239,-87.634141308
HK362103,41.787582014,-87.648631009
HK367476,41.879000423,-87.761779018
HK368743,41.692482599,-87.631659385
HK371037,41.88293336,-87.760212636
HK371089,42.019954734,-87.671911967
HK373002,41.765188616,-87.581896344
HK373002,41.765188616,-87.581896344
HK375396,41.847044728,-87.714864705
HK377605,41.77530619,-87.704196793
HK378604,41.810865786,-87.609016735
HK379652,41.876918063,-87.679572435
HK380224,41.8342776,-87.729151803
HK380680,41.847290068,-87.709991964
HK382601,41.756235471,-87.565108753
HK386186,41.779566592,-87.607172924
HK388473,41.898912391,-87.639681609
HK388525,41.898546648,-87.641830683
HK390524,41.891441758,-87.683159534
HK396701,41.733632786,-87.559292705
HK398371,41.851925955,-87.693672042
HK400279,41.906014112,-87.696956597
HK403601,41.74598942,-87.551449002
HK404487,41.771934088,-87.641762564
HK405004,41.898914865,-87.745898649
HK405366,41.931432125,-87.708625824
HK406407,41.801513039,-87.617733588
HK409839,41.850424032,-87.627029017
HK409854,41.787141102,-87.638273385
HK412030,41.851731811,-87.708253083
HK413657,41.766742714,-87.612870959
HK416661,41.780737448,-87.650885344
HK418703,41.852534107,-87.728422105
HK421143,41.87178962,-87.633564301
HK424675,41.728525495,-87.625226295
HK426848,41.796298932,-87.675584585
HK427093,41.752114055,-87.605224922
HK427575,41.736463265,-87.554176909
HK427644,41.884942349,-87.746665654
HK429430,41.995376421,-87.7154944
HK431410,41.787766064,-87.644987904
HK431540,41.837866301,-87.720710813
HK431718,41.880417403,-87.751583614
HK436240,41.803918678,-87.74736136
HK436285,41.89540978,-87.72158998
HK438289,41.877514327,-87.689421855
HK438438,41.758300638,-87.621134974
HK440539,41.803831008,-87.655122302
HK442182,41.870357242,-87.653226285
HK444671,41.973879166,-87.770062702
HK444671,41.973879166,-87.770062702
HK446177,41.970912695,-87.708545414
HK446677,41.93736843,-87.718899378
HK446803,41.762421626,-87.585146819
HK449079,41.753099617,-87.672001817
HK449083,41.763773198,-87.685663319
HK449165,41.755482543,-87.636852221
HK449695,41.812420433,-87.606629552
HK450240,41.810506188,-87.753008921
HK450312,41.858846848,-87.726519835
HK450720,41.902008712,-87.774713457
HK455586,41.816387079,-87.700500623
HK457173,41.936948841,-87.724618582
HK457513,41.785957604,-87.721623241
HK457942,41.790899014,-87.614793384
HK459293,41.809962045,-87.665009138
HK459545,41.824898025,-87.617018294
HK459752,41.704763734,-87.620554245
HK462161,41.945668603,-87.645633466
HK463678,41.651431329,-87.527258234
HK465885,41.813104217,-87.67116483
HK465895,41.784275558,-87.674035509
HK466380,41.75126815,-87.548039048
HK466698,41.963531469,-87.704650179
HK466777,41.768450478,-87.672822924
HK468353,41.751457646,-87.552892516
HK468531,41.731579232,-87.649581447
HK469548,41.920966835,-87.665917077
HK470564,41.685402634,-87.615287474
HK470751,41.764388024,-87.640065846
HK474680,42.010412289,-87.66135846
HK474717,41.770268974,-87.623425707
HK478987,41.758479226,-87.61105752
HK479167,41.789387171,-87.627673767
HK479210,41.667329792,-87.59557079
HK481621,41.852934738,-87.663629657
HK483176,41.810729022,-87.601726053
HK483368,41.765140839,-87.648448129
HK485822,41.854872286,-87.657556548
HK485925,41.733567481,-87.63746639
HK486402,41.818114699,-87.609221202
HK487688,41.817391174,-87.632381266
HK489546,41.657357458,-87.593957378
HK490204,41.705201564,-87.634648558
HK493361,41.903682772,-87.64530544
HK498920,41.876229753,-87.721497536
HK500437,41.744840327,-87.556417161
HK500451,41.760495118,-87.650355819
HK502001,41.903700111,-87.644078325
HK503011,41.875867113,-87.746128116
HK503280,41.812399607,-87.743285702
HK503297,41.72165754,-87.628972081
HK505802,41.767843612,-87.685772673
HK507412,41.758459496,-87.612285564
HK509160,41.829868313,-87.613135895
HK509307,41.784454794,-87.701537056
HK509310,41.896331896,-87.723663785
HK509310,41.896331896,-87.723663785
HK512195,41.654363697,-87.603886182
HK513788,41.934334428,-87.716036114
HK513791,41.852022697,-87.734519936
HK515480,41.995159052,-87.658373656
HK515516,41.806046185,-87.632805709
HK515543,41.879964711,-87.679666232
HK520035,41.966022154,-87.669366722
HK522073,41.866491165,-87.770477667
HK522280,41.780940635,-87.623725984
HK526394,41.838814549,-87.623263115
HK526742,41.908377736,-87.754691276
HK526818,41.806008044,-87.663682123
HK528598,41.787282556,-87.664412381
HK528781,41.890919112,-87.707636117
HK528879,41.762342874,-87.664964705
HK529002,41.657863861,-87.597603697
HK529005,41.848213234,-87.675739399
HK529129,41.747352098,-87.552073755
HK529948,41.778847855,-87.672690577
HK530948,41.901478393,-87.66989256
HK531127,41.826360698,-87.633035581
HK532843,41.918996436,-87.774333841
HK539094,41.827277651,-87.614438098
HK541161,41.881891477,-87.721561037
HK541881,41.955654591,-87.714569399
HK542615,41.730626171,-87.583889276
HK543656,41.883017158,-87.684655098
HK543761,41.801512193,-87.650507242
HK544176,41.814918876,-87.74382384
HK548175,41.902372033,-87.691938208
HK548346,41.954016661,-87.652105978
HK550108,41.895420644,-87.720539406
HK558324,41.81523908,-87.682173669
HK558350,42.001701089,-87.672027468
HK558373,41.79393697,-87.67238896
HK558576,41.907949831,-87.667613998
HK558681,41.967665781,-87.662730846
HK560033,41.736830917,-87.648503513
HK562333,41.765025476,-87.576275351
HK562364,41.768762371,-87.618559567
HK564062,41.769321463,-87.676355119
HK564454,41.808855298,-87.750529564
HK564473,41.772730648,-87.571587649
HK566095,41.891206512,-87.684263738
HK566637,41.711743054,-87.641745215
HK567192,41.908472059,-87.735076421
HK568857,41.882182723,-87.768782954
HK570716,41.816571942,-87.688345192
HK570869,41.739098268,-87.644921637
HK571077,41.877905851,-87.688771659
HK573084,41.727510629,-87.662827434
HK573219,41.81136185,-87.700418035
HK573294,41.745265005,-87.600161171
HK574710,41.805844487,-87.670971838
HK584141,41.899666325,-87.640015058
HK586284,41.927119626,-87.723179644
HK588720,41.845403158,-87.700167049
HK590206,41.669743339,-87.638033394
HK592220,41.899565113,-87.749099403
HK593970,41.790196981,-87.642615048
HK593970,41.790196981,-87.642615048
HK598867,41.795764158,-87.645195709
HK600388,41.683103524,-87.637248929
HK601397,41.90767894,-87.756523404
HK606807,41.939297628,-87.710750677
HK611468,41.810800457,-87.595731527
HK615027,41.725026736,-87.643309849
HK615747,41.793465964,-87.642704634
HK615906,41.742092997,-87.553943963
HK615994,41.858293378,-87.726165324
HK617803,41.791516727,-87.683975972
HK617887,41.994686924,-87.700753265
HK618117,41.880051337,-87.753540489
HK618118,41.911050094,-87.69701312
HK621800,41.775142326,-87.682176139
HK625712,41.829614746,-87.622652971
HK628005,41.736952879,-87.645490473
HK628116,41.736029804,-87.646702072
HK628908,41.873613214,-87.712060461
HK628944,41.769414467,-87.66394187
HK629270,41.866792739,-87.715434371
HK631015,41.883294392,-87.731543595
HK634872,41.920576655,-87.746736196
HK636608,41.769897392,-87.593670899
HK637587,41.748102615,-87.631808947
HK639684,41.769139191,-87.688259689
HK640689,41.950026404,-87.727990154
HK645784,41.842002544,-87.720829166
HK646279,41.906260278,-87.727760903
HK646675,41.777049211,-87.708795515
HK647145,41.809623853,-87.598408034
HK649858,41.926409544,-87.761153938
HK650256,41.91245631,-87.663445006
HK651626,41.68182957,-87.617937343
HK652304,41.903446827,-87.734447423
HK653392,41.73327429,-87.55133578
HK655914,42.015476798,-87.664904059
HK660835,41.744745858,-87.635788345
HK663121,41.79148596,-87.657236312
HK663797,41.923346732,-87.724292242
HK664428,41.811262257,-87.744117808
HK669797,41.767956594,-87.645709239
HK671827,41.882024481,-87.693100188
HK675515,41.858422352,-87.668671214
HK677235,41.798637445,-87.604702193
HK679153,41.775232383,-87.70877648
HK683108,41.817985189,-87.610444283
HK685702,41.700250843,-87.669372433
HK686933,41.880715741,-87.726507595
HK689815,41.846304142,-87.706830516
HK691212,41.92082527,-87.769522744
HK695279,41.76113031,-87.67693716
HK696912,41.758770652,-87.585405474
HK697584,41.671313211,-87.645347874
HK701076,41.81326591,-87.632279516
HK701466,41.680215474,-87.672884042
HK706008,41.961209182,-87.705025976
HK706072,41.764227937,-87.650451856
HK706072,41.764227937,-87.650451856
HK706138,41.736793013,-87.594541841
HK706280,41.865189021,-87.711169147
HK706582,41.740133369,-87.579414802
HK712560,41.909427341,-87.761526045
HK718700,41.931311524,-87.714734901
HK719629,41.903486284,-87.689502591
HK719915,41.774039121,-87.662148754
HK721466,41.839658924,-87.728073647
HK722502,41.980017106,-87.65706246
HK723100,41.765800217,-87.686944209
HK723116,41.793936717,-87.672344957
HK725707,41.759947729,-87.66365908
HK727425,41.843199549,-87.728172398
HK728985,41.920664488,-87.780477616
HK729146,41.907680799,-87.756347051
HK729315,41.855539054,-87.678384337
HK729605,41.839955532,-87.706121788
HK729807,41.745901647,-87.6560438
HK729807,41.745901647,-87.6560438
HK732169,41.864532095,-87.686637202
HK733729,41.765389154,-87.632738654
HK735720,41.778587277,-87.617291928
HK737589,41.756746185,-87.562691066
HK746784,41.786129066,-87.649808819
HK747450,41.669966483,-87.640446672
HK751266,41.764227396,-87.644385503
HK757278,41.919159388,-87.683796829
HK758443,41.904376845,-87.666196419
HK759092,41.903146549,-87.756740524
HK759577,41.926859365,-87.757265678
HK760907,41.912538479,-87.731298363
HK761870,41.904790742,-87.69261564
HK762898,41.951791762,-87.808442022
HK763208,41.705218551,-87.633381281
HK763869,41.790927219,-87.629545378
HK764341,41.857683731,-87.674313553
HK769179,41.713610358,-87.644223089
HK769987,41.886223185,-87.73905197
HK771311,41.86630331,-87.714238568
HK773252,41.939919247,-87.653428539
HK776079,41.803121603,-87.609478066
HK778184,41.846434616,-87.696622508
HK778184,41.846434616,-87.696622508
HK782061,41.859958895,-87.70670459
HK788404,41.86427091,-87.660284397
HK788723,41.770555286,-87.724991869
HK790321,41.749773746,-87.686504008
HK792126,41.908425822,-87.767089649
HK792194,41.764777525,-87.676463791
HK794484,41.993457327,-87.658318065
HK798753,41.839804007,-87.627964177
HK800093,41.947660678,-87.770565586
HK800311,41.899957283,-87.640026603
HK801831,41.781647309,-87.605957848
HK807481,41.849223127,-87.641635424
HK807495,41.780331258,-87.610497042
HK811031,41.786496067,-87.619015299
HK811135,41.780087726,-87.683662323
HK815209,41.762858933,-87.630944478
HK816318,41.902670403,-87.629946882
HK818944,41.751827103,-87.559231739
HK823687,41.902453573,-87.666271541
HK824261,41.788376502,-87.665651405
HK826485,41.756197144,-87.563892427
HK826665,41.80802998,-87.634555726
HK826899,41.746447258,-87.553400264
HK827036,41.689005269,-87.619142927
HK827036,41.689005269,-87.619142927
HK827036,41.689005269,-87.619142927
HK828074,41.679123405,-87.629900993
HK829194,41.75097171,-87.682871235
HK829960,41.753770131,-87.615017075
HK831363,41.770124866,-87.645755734
HK831444,41.77278508,-87.575252959
HK837040,41.711764929,-87.617532263
HL005121,41.791502151,-87.67180158
HL101040,41.755589111,-87.598020614
HL106602,41.767034119,-87.580005338
HL107444,41.722429119,-87.560716591
HL112637,41.908880377,-87.649445039
HL112637,41.908880377,-87.649445039
HL112637,41.908880377,-87.649445039
HL112811,41.903700111,-87.644078325
HL115841,41.904192368,-87.647000785
HL119705,41.841855999,-87.628741678
HL122434,41.768125466,-87.650557151
HL126868,41.919573251,-87.77557074
HL132189,41.934022485,-87.765113907
HL135476,41.675479189,-87.639424855
HL135476,41.675498398,-87.639424648
HL136954,41.980757148,-87.692792486
HL136957,41.748890402,-87.601479486
HL137637,41.926885578,-87.725618252
HL141721,41.993457327,-87.658318065
HL146245,41.706525472,-87.605647981
HL155611,41.918313209,-87.703826577
HL156770,41.933102333,-87.6939825
HL157408,41.76400655,-87.667436288
HL157429,41.703614913,-87.55961622
HL157968,41.90988254,-87.783366427
HL159356,41.721994032,-87.569938072
HL161178,41.938702071,-87.643517755
HL163871,41.794731772,-87.620357737
HL164061,41.80772238,-87.664951721
HL166361,41.781776856,-87.597857154
HL170487,41.835872212,-87.729188179
HL174691,41.892399066,-87.633144732
HL177834,41.726307646,-87.637280978
HL177967,41.707455731,-87.605637491
HL193120,41.920023019,-87.717518892
HL194151,41.656895901,-87.551982327
HL194667,41.885727834,-87.764242013
HL194705,41.812289384,-87.611524425
HL202732,41.795428379,-87.662193344
HL204876,41.965833128,-87.686731531
HL205955,41.932848117,-87.715212519
HL206147,41.746509155,-87.621261646
HL207408,41.976796312,-87.66235924
HL207408,41.976796312,-87.66235924
HL211745,41.757489974,-87.636621606
HL212228,41.920945185,-87.782926045
HL214391,41.719219606,-87.617709608
HL215932,41.776631116,-87.588878829
HL216209,41.880830196,-87.750188129
HL216294,41.85683081,-87.669642091
HL217966,41.852741028,-87.71624868
HL219488,41.799481546,-87.594214647
HL223577,41.780946398,-87.621995369
HL224566,41.851074338,-87.706449961
HL227322,41.7731575,-87.634868375
HL229138,41.858994084,-87.713494136
HL230043,41.758868487,-87.576875505
HL230043,41.758868487,-87.576875505
HL232905,41.790512312,-87.721469931
HL232949,41.869324647,-87.747707988
HL233101,41.858293737,-87.720035006
HL235190,41.675293409,-87.627395046
HL235442,41.931390046,-87.757257989
HL236216,41.909719991,-87.7948117
HL236577,41.776855857,-87.6847948
HL237125,41.786457287,-87.690502497
HL237605,41.769896519,-87.593535274
HL238378,41.883148997,-87.763288073
HL240399,41.768054437,-87.569117315
HL240489,41.723125438,-87.622237861
HL242006,41.910099812,-87.759352492
HL242188,41.992325401,-87.657627425
HL242938,41.805565622,-87.72473781
HL249429,41.873934562,-87.755751088
HL251078,41.903700111,-87.644078325
HL255594,41.769661943,-87.644525308
HL255611,41.751883525,-87.554990931
HL257510,41.78656651,-87.637648911
HL257812,41.77699219,-87.679796392
HL260858,41.763091292,-87.628108584
HL264420,41.736836559,-87.554187053
HL268144,41.910882489,-87.745899149
HL269483,41.896249083,-87.729805862
HL270937,41.847398722,-87.708776065
HL272007,41.856402776,-87.642659284
HL274838,41.795211762,-87.685651277
HL276984,41.720707239,-87.631088682
HL281446,41.757435477,-87.626352626
HL281526,41.733932151,-87.603356625
HL283611,41.793487652,-87.705295191
HL284832,41.879150656,-87.737876354
HL285922,41.885028339,-87.675428114
HL286056,41.754036152,-87.619833441
HL287141,41.754624469,-87.563863568
HL287184,41.931526845,-87.786929086
HL289126,41.908413428,-87.754694627
HL290743,41.688788281,-87.697117655
HL290758,41.789742498,-87.660833554
HL291491,41.842709067,-87.626890005
HL294194,41.746241919,-87.662119548
HL295945,41.777640075,-87.605867481
HL296055,41.874621573,-87.754848987
HL297826,41.891841157,-87.711674507
HL300398,41.745880737,-87.597314236
HL302007,41.75894376,-87.570412933
HL304106,41.877111606,-87.723740014
HL304171,41.872868978,-87.661747319
HL307618,41.786247966,-87.658314366
HL309280,41.866303706,-87.71431199
HL314002,41.771524452,-87.582203652
HL314660,41.746916341,-87.602630568
HL315309,41.75156675,-87.57909046
HL316923,41.851869521,-87.697842267
HL320099,41.780822299,-87.636222438
HL326559,41.810317198,-87.74445293
HL326591,41.803119714,-87.609613791
HL327978,41.786887482,-87.625501123
HL328506,41.666054918,-87.636217512
HL329932,41.6732055,-87.620368119
HL334016,41.852592882,-87.711170104
HL336157,41.909371462,-87.766306125
HL336784,41.780219556,-87.688551953
HL337558,41.741698487,-87.587959696
HL342143,41.861559271,-87.65976218
HL343872,41.855779726,-87.658802374
HL343949,41.736126864,-87.629184056
HL344013,41.808077619,-87.657656097
HL347470,41.896121549,-87.629765311
HL352987,41.702128834,-87.565134263
HL353127,41.677141624,-87.640684521
HL355032,41.812728476,-87.745876133
HL355369,41.873185004,-87.743795434
HL355467,41.822419341,-87.702059168
HL355682,41.817187071,-87.614015362
HL356544,41.91737616,-87.749826142
HL357042,41.874153389,-87.735238688
HL357922,41.921683218,-87.710385465
HL360798,41.889328196,-87.753254614
HL361444,41.763159424,-87.610370918
HL361793,41.796433919,-87.603858002
HL365683,41.879779138,-87.724280162
HL366246,41.86556965,-87.730046763
HL369158,41.893839854,-87.765356348
HL369348,41.755339469,-87.663560389
HL369706,41.966517688,-87.718939265
HL370043,41.830474313,-87.620537314
HL370796,41.739995819,-87.562407715
HL371164,41.795026937,-87.665828089
HL371197,41.671700256,-87.641705495
HL371794,41.914403235,-87.719130719
HL373670,41.80887363,-87.601684809
HL374197,41.917841667,-87.721684427
HL374524,41.685865771,-87.67522423
HL381649,41.850954446,-87.731230184
HL385330,41.787663136,-87.691190812
HL385610,41.78701723,-87.645505595
HL387017,41.783843163,-87.67281163
HL387106,41.906262537,-87.727669042
HL388719,41.99939998,-87.698995878
HL389943,41.813728138,-87.74709588
HL390333,41.670593543,-87.636131945
HL392864,41.885338116,-87.738777398
HL393632,41.771444074,-87.646999044
HL396393,41.775073286,-87.593695751
HL399092,41.780833211,-87.660607674
HL399677,41.815067117,-87.665132148
HL401744,41.85410952,-87.724824748
HL402293,41.896664035,-87.629175344
HL403540,41.759042154,-87.562132147
HL407548,41.828695766,-87.613016949
HL407939,41.683044898,-87.642085558
HL408380,41.881169658,-87.725680737
HL410205,41.842709067,-87.626890005
HL410878,41.778537705,-87.672682761
HL411810,41.703385372,-87.633836943
HL412555,41.780818358,-87.661821414
HL412803,41.7678792,-87.683327303
HL412899,41.878588343,-87.745919604
HL414688,41.837622327,-87.731663422
HL416874,41.727426961,-87.610987818
HL417280,41.862090825,-87.721397398
HL419306,41.788999312,-87.638781344
HL421238,41.889328196,-87.753254614
HL423605,41.859047012,-87.708574633
HL423726,41.873578134,-87.764614167
HL425753,41.773621973,-87.694886916
HL427901,41.826363084,-87.63297685
HL428005,41.772065828,-87.641764814
HL428024,41.909876642,-87.727138915
HL428081,41.815648581,-87.687628112
HL429514,41.753297938,-87.644110254
HL429996,41.745498952,-87.550351969
HL431611,41.777521029,-87.739818299
HL431811,41.79864951,-87.663491015
HL433283,41.810949891,-87.723700117
HL433831,41.76591285,-87.660202733
HL435664,41.705920727,-87.618607847
HL435842,41.7475849,-87.555240741
HL437234,41.90827755,-87.774353889
HL437473,41.744327713,-87.663286425
HL437674,41.959807503,-87.666221514
HL438340,41.796860609,-87.602771301
HL442879,41.767259848,-87.575105403
HL444121,41.875223384,-87.7288985
HL444126,41.878260162,-87.625441057
HL444505,41.680629362,-87.645658652
HL446232,41.718858531,-87.572194892
HL448493,41.968010166,-87.749364293
HL448514,41.767466251,-87.689431132
HL449482,41.803106742,-87.668777414
HL449677,41.880421254,-87.751260433
HL451810,41.752892887,-87.582120402
HL453178,41.844241543,-87.725417387
HL455331,41.860577494,-87.733122246
HL457433,41.795358166,-87.660980217
HL459194,41.837605816,-87.724364613
HL459447,41.916354342,-87.725310341
HL459802,41.911516547,-87.7801855
HL461073,41.753961271,-87.611361053
HL462804,41.897762642,-87.64060498
HL466831,41.967250922,-87.710886734
HL467259,41.964688389,-87.709977733
HL467408,41.89570181,-87.76785585
HL467443,41.855906242,-87.727274434
HL467655,41.730810629,-87.640386703
HL471299,41.904563274,-87.640674736
HL471587,41.937487289,-87.710400747
HL471597,41.923877776,-87.772512723
HL471965,41.861105328,-87.649814857
HL472513,41.897028342,-87.736612062
HL473746,41.765011746,-87.656766564
HL473988,41.862929749,-87.659013575
HL474009,41.916357832,-87.702056472
HL475827,41.752955186,-87.614157597
HL475827,41.752955186,-87.614157597
HL475827,41.752955186,-87.614157597
HL478108,41.762318036,-87.597577257
HL480216,41.699247596,-87.619663099
HL480379,41.706052215,-87.642805979
HL482329,41.899766564,-87.737038376
HL484055,41.787963598,-87.709866645
HL484812,41.778509628,-87.688510421
HL486600,41.877072569,-87.726733001
HL486965,41.797506864,-87.684348255
HL487149,41.669904327,-87.628420197
HL489033,41.879266795,-87.728070908
HL489874,41.76328178,-87.715017312
HL490868,41.799421534,-87.673601553
HL497705,41.67443909,-87.625475365
HL501975,41.764862971,-87.66794427
HL502189,41.797788607,-87.606299785
HL502925,41.877529542,-87.688220976
HL503825,41.771076886,-87.619615301
HL504078,41.806096519,-87.660039016
HL505197,41.893634814,-87.71554301
HL505794,41.736763314,-87.596755181
HL505976,41.765279527,-87.607997512
HL506662,42.014551937,-87.664420649
HL507106,41.861751313,-87.712847101
HL508235,41.851926057,-87.693690393
HL508408,41.671623667,-87.634488374
HL509628,41.809595542,-87.634773467
HL511948,41.78815819,-87.697800852
HL513570,41.987951293,-87.655323262
HL513573,41.78495812,-87.620598031
HL516142,41.67993472,-87.615534958
HL516150,41.77484679,-87.687186995
HL518742,41.856554427,-87.661282997
HL519202,42.001352197,-87.690805303
HL519786,41.765067231,-87.741916142
HL520157,41.798622304,-87.698819709
HL520474,41.899886709,-87.717683015
HL520836,41.768069819,-87.567306284
HL523463,41.860650355,-87.728180422
HL524860,41.754780109,-87.657082931
HL526827,41.843892459,-87.622098627
HL527629,41.812741508,-87.694340847
HL527629,41.812741508,-87.694340847
HL529238,41.783427656,-87.608452988
HL531230,42.021514626,-87.67307347
HL531364,41.928845536,-87.710870694
HL533210,41.778581035,-87.665463386
HL533506,41.938058558,-87.719660916
HL534030,41.8112053,-87.748545797
HL534365,41.782398888,-87.68617622
HL539175,41.91972213,-87.742246596
HL539309,41.901093655,-87.75451828
HL541246,41.881257892,-87.763224094
HL543326,41.8606726,-87.726675109
HL543584,41.775283736,-87.67138536
HL543691,41.78033548,-87.699520645
HL543835,41.84691915,-87.729950423
HL545513,41.912314178,-87.725187033
HL546027,41.90724073,-87.694475723
HL546673,41.902972829,-87.748436512
HL547533,41.932154451,-87.774781254
HL547905,41.904192368,-87.647000785
HL547913,41.880669729,-87.688846702
HL548015,41.804890217,-87.667302871
HL551315,41.752533797,-87.579669171
HL551951,41.749468625,-87.604371641
HL552519,41.648678084,-87.614886812
HL552644,41.926428617,-87.773372324
HL553242,41.978552752,-87.70006709
HL553703,41.889339104,-87.717406023
HL555606,41.750751798,-87.708519102
HL555724,41.702629983,-87.606310777
HL555782,41.91894317,-87.730709065
HL556087,41.932461255,-87.638888239
HL557226,41.751943915,-87.682029516
HL558049,41.708080277,-87.628343903
HL566208,41.768871442,-87.584415712
HL567137,41.766235366,-87.649294236
HL569928,41.78836534,-87.626625255
HL570008,41.767812549,-87.650545806
HL570015,41.86990155,-87.718422415
HL573472,41.795769549,-87.620870654
HL573960,41.826333505,-87.614419308
HL577964,41.805026135,-87.616480456
HL582086,41.910076561,-87.756902265
HL583419,41.791061218,-87.623225671
HL583649,41.897885763,-87.638726692
HL584904,41.758536614,-87.586130225
HL586089,41.6772281,-87.61498301
HL590360,41.738686553,-87.666785585
HL591154,41.884670612,-87.760241178
HL603073,41.881235021,-87.757539789
HL603657,41.862898145,-87.711275792
HL604318,41.980639456,-87.65510293
HL604516,41.772636876,-87.575251038
HL604727,41.800660478,-87.646199579
HL606337,41.753349598,-87.651388102
HL607066,41.759366666,-87.653967008
HL612170,41.771326654,-87.726590238
HL617116,41.850976869,-87.696217762
HL617450,41.878892807,-87.723774494
HL617532,42.021156986,-87.671012579
HL618390,41.751693834,-87.648920921
HL618905,41.750819013,-87.632182489
HL618925,41.786308336,-87.629056888
HL619154,41.705790877,-87.628240739
HL619201,41.853722996,-87.697544955
HL620067,41.936674656,-87.680697233
HL622853,41.899261233,-87.699561823
HL624701,41.78890665,-87.704650532
HL627779,41.755644606,-87.640508123
HL628024,41.784159103,-87.66433485
HL632941,41.821789385,-87.601875318
HL633973,41.747644003,-87.603560435
HL640029,41.911880784,-87.764307348
HL641342,41.800464977,-87.723370404
HL643393,41.800818923,-87.642875079
HL645804,41.87448398,-87.718334431
HL646747,41.90276665,-87.775386429
HL648026,41.980554579,-87.657928425
HL648096,41.764932153,-87.576272783
HL649255,41.799621611,-87.655643463
HL651996,41.751305337,-87.603628907
HL655808,41.728527453,-87.662131797
HL655926,41.703792164,-87.647601797
HL655946,41.742183808,-87.600694557
HL656289,41.780145476,-87.68611455
HL660737,41.759866071,-87.60296382
HL661296,41.76419045,-87.667441718
HL661892,41.770621253,-87.582573441
HL662200,41.780388326,-87.689774839
HL662516,41.691874338,-87.611872683
HL663792,41.890404751,-87.716547396
HL665682,41.801575891,-87.646002751
HL668918,41.765078582,-87.609205731
HL669416,41.709227068,-87.564526046
HL669428,41.786301639,-87.700030229
HL669557,41.76576088,-87.707094214
HL669920,42.007356038,-87.66148997
HL671524,41.671872535,-87.635700877
HL671923,41.97097739,-87.707323915
HL673533,41.893547279,-87.724329346
HL673823,41.762667239,-87.649203846
HL673888,41.876674449,-87.753794998
HL673915,41.87886043,-87.726470068
HL674332,41.793810528,-87.654006786
HL675535,41.860731658,-87.721770113
HL676625,42.005562771,-87.659393242
HL679672,41.685242092,-87.629259575
HL683729,41.773966981,-87.613076067
HL690073,41.893162746,-87.635979167
HL690996,41.930854612,-87.707392983
HL691276,41.913331121,-87.698107359
HL697403,41.879964711,-87.679666232
HL703752,41.75024669,-87.607631727
HL703794,41.826466155,-87.625615672
HL705809,41.860300917,-87.717681095
HL710670,41.791544304,-87.668170785
HL713868,41.866235446,-87.720517147
HL716112,41.871020381,-87.736472172
HL716166,41.907607019,-87.762449687
HL719791,42.015476798,-87.664904059
HL722261,41.782155088,-87.6103189
HL722490,41.792864056,-87.624533263
HL729724,41.782270213,-87.622167729
HL732183,41.7049345,-87.602736241
HL733213,41.69941558,-87.623301059
HL739526,41.877447207,-87.695095677
HL739570,41.830109681,-87.610058377
HL739814,41.912935438,-87.71663914
HL743216,41.757914316,-87.573676076
HL744277,41.765185248,-87.570144721
HL745300,41.725123953,-87.593649831
HL745472,41.779601956,-87.655165014
HL748925,41.921755969,-87.729135641
HL749116,41.934191161,-87.752752715
HL749206,41.909296239,-87.772221562
HL753412,41.789793556,-87.655978004
HL755239,41.854982483,-87.727995263
HL755450,41.887593894,-87.700272105
HL758463,41.854712517,-87.734604965
HL758755,41.872817949,-87.70209956
HL763917,41.902233329,-87.664734696
HL764908,41.8207864,-87.639252394
HL765006,41.884499905,-87.741197902
HL766409,41.777688461,-87.739824088
HL768889,41.877967857,-87.726338978
HL769630,41.784987722,-87.660080247
HL771347,41.745087662,-87.624377421
HL772875,41.685157985,-87.635718461
HL777755,41.771209351,-87.682105941
HL779301,41.793223108,-87.65120397
HL781909,41.751188365,-87.610739804
HL785364,41.882209791,-87.76703474
HL785831,41.673185855,-87.622513271
HL785857,41.78878706,-87.649142548
HL786202,41.880417403,-87.751583614
HL789094,41.863832272,-87.716564226
HL790041,41.8665066,-87.696214119
HL793677,41.767375557,-87.584378126
HL793991,41.765564193,-87.622366914
HL795612,41.879611416,-87.709395197
HL795690,41.763781977,-87.585864104
HL795729,41.737448633,-87.546148296
HL802967,41.906342131,-87.760837224
HL803324,41.731545427,-87.662939347
HL808284,41.773816617,-87.630000084
HL808787,41.803114376,-87.621053366
HL809577,41.870770078,-87.696017577
HL814909,41.656469322,-87.614891712
HL815217,41.88090279,-87.712217526
HL816641,41.823830268,-87.687318443
HL818377,41.860304719,-87.718903489
HM005248,41.758140253,-87.565144678
HM005248,41.758140253,-87.565144678
HM100890,41.774907335,-87.660445972
HM100897,41.87710575,-87.724188045
HM107055,41.900585086,-87.686964123
HM110359,41.820221086,-87.61778581
HM111786,41.688241624,-87.618144556
HM112373,41.760811773,-87.64915025
HM113613,41.890030854,-87.709815329
HM115740,41.763448904,-87.583602738
HM119907,41.81621491,-87.739703297
HM120319,41.782332259,-87.597165171
HM124205,41.758189762,-87.627627142
HM127582,41.791544829,-87.673018596
HM128066,41.896652657,-87.767013681
HM133443,41.817785317,-87.609210238
